,ident,grp,col,country,cid,name,Unnamed: 0,Unnamed: 0.1,MEP.ID,FullName,Country,Party,EPG,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1,lastname,firstname
436,28399,EPP,#80BFFF,Spain,ESP,antonio_lópez-istúriz_white,398.0,"LÓPEZ-ISTÚRIZ WHITE, Antonio",399.0,"LÓPEZ-ISTÚRIZ WHITE, Antonio",Spain,Partido Popular,Group of the European People's Party (Christian Democrats),2345.0,75.0,69.0,1457.0,0.9038398861885072,0.963507349214394,-0.0136981494724751,-0.999906241893768,0.0,0.0,0.0,LÓPEZ-ISTÚRIZ WHITE,Antonio
437,96975,S_D,#FF0000,Portugal,PRT,antónio_fernando_correia_de_campos,126.0,"CORREIA DE CAMPOS, António Fernando",127.0,"CORREIA DE CAMPOS, António Fernando",Portugal,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3899.0,135.0,148.0,1635.0,0.869379878044128,0.951349492865738,-0.188180103898048,-0.27678608894348106,0.0,0.0,0.0,CORREIA DE CAMPOS,António Fernando
438,23813,EPP,#80BFFF,Hungary,HUN,zoltán_bagó,749.0,"BAGÓ, Zoltán",750.0,"BAGÓ, Zoltán",Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats),3206.0,88.0,67.0,1863.0,0.906825482845306,0.970329249617152,-0.0209170188754797,-0.9997813105583192,0.0,0.0,0.0,BAGÓ,Zoltán
439,23820,EPP,#80BFFF,Hungary,HUN,lászló_surján,631.0,"SURJÁN, László",632.0,"SURJÁN, László",Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats),3455.0,217.0,132.0,2089.0,0.843811750411987,0.940777193280163,-0.0153804095461965,-0.900364220142365,0.0,0.0,0.0,SURJÁN,László
440,96803,EFD,#FF9900,Poland,POL,zbigniew_ziobro,732.0,"ZIOBRO, Zbigniew",733.0,"ZIOBRO, Zbigniew",Poland,Solidarna Polska,Europe of freedom and democracy Group,1527.0,380.0,458.0,2260.0,0.644642353057861,0.818810810810811,0.13780443370342302,0.488600611686707,0.0,0.0,0.0,ZIOBRO,Zbigniew
441,96701,S_D,#FF0000,Spain,ESP,maría_muñiz_de_urquiza,464.0,"MUÑIZ DE URQUIZA, María",465.0,"MUÑIZ DE URQUIZA, María",Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3850.0,186.0,191.0,1515.0,0.851195216178894,0.934343434343434,-0.190776467323303,-0.303452104330063,0.0,0.0,0.0,MUÑIZ DE URQUIZA,María
442,28112,EPP,#80BFFF,Ireland,IRL,gay_mitchell,455.0,"MITCHELL, Gay",456.0,"MITCHELL, Gay",Ireland,Fine Gael Party,Group of the European People's Party (Christian Democrats),3259.0,154.0,156.0,2000.0,0.8368922472000121,0.944334710001796,-0.0251447949558496,-0.686524987220764,0.0,0.0,0.0,MITCHELL,Gay
443,4532,S_D,#FF0000,UnitedKingdom,GBR,michael_cashman,103.0,"CASHMAN, Michael",104.0,"CASHMAN, Michael",United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2920.0,275.0,148.0,1087.0,0.773836374282837,0.90451467268623,-0.177132025361061,0.23176121711731,0.0,0.0,0.0,CASHMAN,Michael
444,111014,S_D,#FF0000,Austria,AUT,josef_weidenholzer,785.0,"WEIDENHOLZER, Josef",786.0,"WEIDENHOLZER, Josef",Austria,Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2348.0,161.0,135.0,891.0,0.827008545398712,0.916265912305516,-0.22453299164772,0.132859244942665,0.0,0.0,0.0,WEIDENHOLZER,Josef
445,97086,ALDE,#FFFF00,Italy,ITA,sonia_alfano,5.0,"ALFANO, Sonia",6.0,"ALFANO, Sonia",Italy,Italia dei Valori - Lista Di Pietro,Group of the Alliance of Liberals and Democrats for Europe,2113.0,233.0,253.0,672.0,0.734589159488678,0.851421583613574,-0.195955097675323,0.556289315223694,0.0,0.0,0.0,ALFANO,Sonia
446,39317,S_D,#FF0000,Greece,GRC,anni_podimata,519.0,"PODIMATA, Anni",520.0,"PODIMATA, Anni",Greece,Panhellenic Socialist Movement,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3420.0,134.0,149.0,1429.0,0.8547776937484741,0.94485580670304,-0.191278114914894,-0.259241998195648,0.0,0.0,0.0,PODIMATA,Anni
447,2338,G_EFA,#009900,UnitedKingdom,GBR,ian_hudghton,292.0,"HUDGHTON, Ian",293.0,"HUDGHTON, Ian",United Kingdom,Scottish National Party,Group of the Greens/European Free Alliance,2552.0,316.0,354.0,1007.0,0.669437766075134,0.8415701111373851,-0.285980224609375,0.946612775325775,0.0,0.0,0.0,HUDGHTON,Ian
448,96782,EPP,#80BFFF,Poland,POL,sidonia_elżbieta_jędrzejewska,313.0,"JĘDRZEJEWSKA, Sidonia Elżbieta",314.0,"JĘDRZEJEWSKA, Sidonia Elżbieta",Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),3418.0,138.0,117.0,2075.0,0.88210517168045,0.9556367432150308,-0.0161110050976276,-0.912230372428894,0.0,0.0,0.0,JĘDRZEJEWSKA,Sidonia Elżbieta
449,28141,EPP,#80BFFF,Hungary,HUN,lívia_járóka,310.0,"JÁRÓKA, Lívia",311.0,"JÁRÓKA, Lívia",Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats),2652.0,147.0,126.0,1494.0,0.840410947799683,0.938221317040054,-0.0234699100255966,-0.801399946212769,0.0,0.0,0.0,JÁRÓKA,Lívia
450,97008,S_D,#FF0000,Greece,GRC,georgios_stavrakakis,618.0,"STAVRAKAKIS, Georgios",619.0,"STAVRAKAKIS, Georgios",Greece,Panhellenic Socialist Movement,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4019.0,145.0,162.0,1583.0,0.8592000603675841,0.9480453545439158,-0.18995328247547105,-0.256042093038559,0.0,0.0,0.0,STAVRAKAKIS,Georgios
