,Unnamed: 0,MEP.ID,FullName,Country,Party,EPG,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1,lastname,firstname,name
738,"ANGOURAKIS, Charalampos",739,"ANGOURAKIS, Charalampos",Greece,Communist Party of Greece,Confederal Group of the European United Left - Nordic Green Left,1448.0,1373.0,380.0,769.0,0.53888738155365,0.558438287153652,-0.998877108097076,0.0473754368722439,0.0,0.0,0.0,ANGOURAKIS,Charalampos,charalampos_angourakis
739,"DANELLIS, Spyros",740,"DANELLIS, Spyros",Greece,Panhellenic Socialist Movement,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3871.0,146.0,163.0,1522.0,0.8556311726570129,0.9458084882497371,-0.191455498337746,-0.25822672247886697,0.0,0.0,0.0,DANELLIS,Spyros,spyros_danellis
740,"SALAVRAKOS, Nikolaos",741,"SALAVRAKOS, Nikolaos",Greece,Popular Orthodox Rally - G. Karatzaferis,Europe of freedom and democracy Group,2846.0,407.0,485.0,1121.0,0.632200658321381,0.816423132331755,-0.0438303202390671,-0.144241288304329,0.0,0.0,0.0,SALAVRAKOS,Nikolaos,nikolaos_salavrakos
741,"LE GRIP, Constance",742,"LE GRIP, Constance",France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),3442.0,141.0,120.0,2053.0,0.883371233940125,0.954656011118832,-0.0224340129643679,-0.97515857219696,0.0,0.0,0.0,LE GRIP,Constance,constance_le_grip
742,"KOZŁOWSKI, Jan",743,"KOZŁOWSKI, Jan",Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),3463.0,160.0,95.0,2046.0,0.890838623046875,0.955759888965996,-0.0080045722424984,-0.9999680519104001,0.0,0.0,0.0,KOZŁOWSKI,Jan,jan_kozłowski
743,"TAYLOR, Keith",744,"TAYLOR, Keith",United Kingdom,Green Party,Group of the Greens/European Free Alliance,3522.0,237.0,142.0,1394.0,0.830097496509552,0.9284230406043441,-0.375714600086212,0.8262187838554379,0.0,0.0,0.0,TAYLOR,Keith,keith_taylor
744,"GÁLL-PELCZ, Ildikó",745,"GÁLL-PELCZ, Ildikó",Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats),3215.0,169.0,100.0,1825.0,0.861419796943665,0.94933132416651,-0.0192228052765131,-0.859283626079559,0.0,0.0,0.0,GÁLL-PELCZ,Ildikó,ildikó_gáll-pelcz
745,"KOVÁCS, Béla",746,"KOVÁCS, Béla",Hungary,Jobbik Magyarországért Mozgalom,Non-attached Members,1552.0,813.0,486.0,331.0,0.363958686590195,0.591766184789441,-1.0,0.0,0.0,0.0,0.0,KOVÁCS,Béla,béla_kovács
746,"HARTONG, Lucas",747,"HARTONG, Lucas",Netherlands,Partij voor de Vrijheid,Non-attached Members,583.0,655.0,387.0,3243.0,0.6491791009902951,0.7859490550534101,0.892521739006042,0.451004236936569,0.0,0.0,0.0,HARTONG,Lucas,lucas_hartong
747,"MULDER, Jan",748,"MULDER, Jan",Netherlands,Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe,3208.0,451.0,247.0,1463.0,0.7533864378929142,0.8699944123672941,-0.0780969634652138,0.339983612298965,0.0,0.0,0.0,MULDER,Jan,jan_mulder
